	GK2	GK12	GK13	GK14	GK15	GK16	GK17	GK18	GK19	GK20
hsa-miR-1273h-3p	0	6	0	2	3	0	0	0	2	0
hsa-miR-1275	112	64	90	34	41	74	64	65	19	39
hsa-miR-1276	3	9	4	0	0	6	2	2	4	3
hsa-miR-1277-3p	2	0	4	5	2	6	5	0	0	0
hsa-miR-1277-5p	34	38	31	126	24	36	63	91	39	33
hsa-miR-1278	0	3	5	3	0	2	3	11	2	0
hsa-miR-128-1-5p	43	47	28	33	34	17	35	39	31	25
hsa-miR-128-3p	2472	1900	2362	2428	953	1368	2007	2171	1052	1159
hsa-miR-1283	11	0	0	18	0	0	0	9	0	4
hsa-miR-1284	0	3	5	3	0	4	3	3	3	0
hsa-miR-1286	2	0	2	3	0	2	0	0	0	0
hsa-miR-1287-3p	4	0	0	0	0	2	0	0	0	0
hsa-miR-1287-5p	453	328	379	357	199	221	305	387	171	276
hsa-miR-129-1-3p	0	0	0	0	2	0	0	2	0	0
hsa-miR-129-2-3p	8	9	7	5	10	4	6	2	5	0
hsa-miR-129-5p	7	23	11	13	6	4	7	14	3	2
hsa-miR-1291	11	20	6	2	12	8	8	15	2	5
hsa-miR-1292-5p	3	0	0	2	0	0	2	0	0	0
hsa-miR-1294	4	0	3	4	8	2	0	0	0	0
hsa-miR-1295a	15	2	4	0	3	2	2	0	2	2
hsa-miR-1296-3p	2	2	0	3	0	0	0	2	0	0
hsa-miR-1296-5p	1485	534	356	484	311	184	455	371	177	232
hsa-miR-1298-3p	0	0	2	0	0	0	0	0	0	0
hsa-miR-1298-5p	0	8	9	2	2	2	0	0	0	0
hsa-miR-1299	80	66	206	1485	68	80	11	42	330	221
hsa-miR-1301-3p	180	137	126	147	86	104	101	145	86	84
hsa-miR-1304-3p	179	72	63	62	61	34	47	48	26	47
hsa-miR-1304-5p	3	3	3	6	3	2	0	3	7	0
hsa-miR-1305	0	7	9	0	4	5	4	7	0	2
hsa-miR-1306-3p	53	21	21	23	11	11	23	30	16	14
hsa-miR-1306-5p	124	32	52	69	27	22	51	45	22	24
hsa-miR-1307-3p	4403	2144	2262	1892	1452	1591	1984	2466	1108	1123
hsa-miR-1307-5p	9726	4082	6171	15547	2895	5345	4483	6774	3519	2259
hsa-miR-130a-3p	10896	9873	9894	11335	9713	6807	10549	10321	5401	9497
hsa-miR-130b-3p	696	904	830	877	577	472	764	733	375	731
hsa-miR-130b-5p	263	180	312	229	196	103	245	210	106	163
hsa-miR-132-3p	905	851	943	1356	668	465	830	725	664	556
hsa-miR-132-5p	75	80	119	133	64	61	93	84	80	66
hsa-miR-1323	13	0	0	27	3	4	6	34	5	10
hsa-miR-133a-3p	1323559	506733	824805	630143	408029	693314	642586	710767	500429	521635
hsa-miR-133a-5p	2881	1921	2549	2010	1361	2028	2096	2750	1851	1759
hsa-miR-133b	44115	8233	11448	15731	7169	9504	6986	7082	6180	9659
hsa-miR-134-3p	6	8	2	0	6	3	2	6	5	7
hsa-miR-134-5p	453	308	160	204	341	145	182	184	179	156
hsa-miR-1343-3p	38	21	12	13	6	10	10	15	7	4
hsa-miR-135a-5p	580	148	580	472	311	575	660	566	229	477
hsa-miR-135b-5p	0	0	0	10	0	0	2	3	2	24
hsa-miR-136-3p	2033	2519	1498	3104	2593	1686	2492	2118	1943	1727
hsa-miR-136-5p	519	668	444	993	519	422	595	675	488	374
hsa-miR-137	2	0	0	0	0	2	0	0	0	0
hsa-miR-138-1-3p	0	0	0	0	2	0	0	0	0	0
hsa-miR-138-5p	49	19	4	0	21	8	35	24	0	32
hsa-miR-139-3p	25	45	17	19	41	43	40	62	41	31
hsa-miR-139-5p	3102	1478	1350	1576	1120	1085	1002	642	838	877
hsa-miR-140-3p	25467	20924	13970	13084	16016	15714	17491	15833	9230	15176
hsa-miR-140-5p	699	975	935	970	917	969	1083	1527	892	681
hsa-miR-141-3p	57	110	45	51	73	54	80	41	30	75
hsa-miR-141-5p	0	0	0	0	0	0	3	0	0	0
hsa-miR-142-3p	364	612	364	923	369	280	496	394	340	360
hsa-miR-142-5p	4854	13449	4940	9048	9910	5079	8035	6388	4335	6626
hsa-miR-143-3p	2519007	3110806	1858921	2429155	2161069	2264619	2264923	2391144	1525753	1609183
hsa-miR-143-5p	1098	977	626	888	624	597	899	913	427	430
hsa-miR-144-3p	633	1166	307	1412	559	860	1651	1148	239	248
hsa-miR-144-5p	455	2038	466	893	937	1464	1602	1252	516	573
hsa-miR-145-3p	5373	5554	3785	5784	5078	4257	4704	5262	4081	2838
hsa-miR-145-5p	105101	23764	19157	36459	21971	18000	19829	18387	12112	17553
hsa-miR-1468-5p	329	222	457	165	164	180	236	272	108	143
hsa-miR-1469	0	0	0	0	0	0	2	0	0	0
hsa-miR-146a-3p	0	2	0	0	0	0	0	0	0	0
hsa-miR-146a-5p	534	5417	577	1103	1645	1267	726	814	654	877
hsa-miR-146b-3p	72	328	93	283	381	47	173	153	146	421
hsa-miR-146b-5p	447	14902	2601	18703	18513	2892	4464	4939	7137	26542
hsa-miR-147b	8	4	4	4	4	3	2	2	5	5
hsa-miR-148a-3p	53870	68166	66631	61545	55306	68231	60790	55996	38182	35664
hsa-miR-148a-5p	1448	904	953	830	1022	1020	653	719	645	475
hsa-miR-148b-3p	20123	8357	7780	8069	5802	6824	5939	7737	5184	6873
hsa-miR-148b-5p	621	611	717	932	504	562	562	620	439	578
hsa-miR-149-5p	4255	1221	1637	1604	803	1389	1547	1885	736	1228
hsa-miR-150-3p	25	11	7	7	9	7	11	9	4	0
hsa-miR-150-5p	12282	3829	6981	5769	4313	6315	10007	7640	4434	4702
hsa-miR-151a-3p	58471	48146	35683	41757	34090	31691	31862	37644	24830	26584
hsa-miR-151a-5p	43732	56317	48509	32742	40596	37921	40695	53869	34344	28411
hsa-miR-151b	43679	56276	48462	32717	40551	37875	40639	53806	34297	28388
hsa-miR-152-3p	9229	8833	5499	6270	6171	4164	6041	5135	4276	4127
hsa-miR-152-5p	342	298	254	342	205	154	218	185	201	176
hsa-miR-153-3p	84	228	67	191	165	96	241	163	65	51
hsa-miR-153-5p	0	4	2	3	0	4	2	2	0	0
hsa-miR-1537-3p	2	2	2	0	0	0	2	0	0	2
hsa-miR-1537-5p	0	0	0	0	2	0	0	0	0	0
hsa-miR-1538	2	4	0	2	2	0	0	0	0	0
hsa-miR-154-3p	3	0	3	2	0	0	0	0	3	2
hsa-miR-154-5p	144	83	37	105	70	48	54	37	32	60
hsa-miR-155-5p	748	2264	1510	1227	797	350	680	585	850	1252
hsa-miR-15a-3p	2	0	0	4	0	0	0	0	0	0
hsa-miR-15a-5p	4346	6172	5002	5378	3738	4844	5966	5723	3126	4379
hsa-miR-15b-3p	7	0	30	39	2	0	0	0	4	0
hsa-miR-15b-5p	2221	1693	1280	927	1119	1310	907	1079	914	1242
hsa-miR-16-1-3p	0	2	0	0	2	0	3	0	0	0
hsa-miR-16-2-3p	281	447	296	262	330	307	487	321	204	193
hsa-miR-16-5p	52262	104775	75967	69651	66560	72724	79845	76795	45812	66601
hsa-miR-17-3p	227	203	178	192	147	225	218	227	114	139
hsa-miR-17-5p	1445	1327	1242	1412	1135	1522	1276	1975	1335	1095
hsa-miR-181a-2-3p	8613	5957	6437	7114	3384	3915	5211	6524	2717	5570
hsa-miR-181a-3p	2105	1168	1956	1348	1122	1451	1438	2045	816	883
hsa-miR-181a-5p	537507	316745	341766	259813	235292	285223	250399	324424	195358	240789
hsa-miR-181b-2-3p	5	15	17	23	11	8	9	21	11	10
hsa-miR-181b-3p	4	8	13	22	2	6	14	24	6	3
hsa-miR-181b-5p	16902	12488	12642	11966	8984	9278	11105	12101	6545	9125
hsa-miR-181c-3p	1880	1257	1113	1197	1168	1423	1050	1528	916	1069
hsa-miR-181c-5p	22737	18869	12672	16320	17345	17795	12692	16366	10918	13247
hsa-miR-181d-3p	3	0	0	0	0	0	0	0	0	0
hsa-miR-181d-5p	2014	1613	1115	1505	1470	1549	1095	1425	936	997
hsa-miR-182-5p	356	4468	654	1126	1612	1004	3224	1069	474	1085
hsa-miR-1827	0	0	0	2	0	0	0	0	0	0
hsa-miR-183-5p	69	323	45	100	110	60	209	50	34	87
hsa-miR-184	50	120	39	29	71	21	66	45	14	41
hsa-miR-185-3p	186	91	86	82	56	49	97	110	41	82
hsa-miR-185-5p	1258	648	485	826	432	409	580	680	355	568
hsa-miR-186-3p	10	2	6	6	0	0	6	6	0	0
hsa-miR-186-5p	50042	67121	66125	55412	50144	45253	53141	57738	35694	50821
hsa-miR-187-3p	87	31	49	14	45	51	25	51	100	5
hsa-miR-188-3p	18	13	9	11	8	2	8	9	7	9
hsa-miR-188-5p	87	33	70	57	29	29	64	77	38	34
hsa-miR-18a-3p	38	26	21	21	8	21	15	15	7	20
hsa-miR-18a-5p	288	99	84	201	71	88	86	72	49	73
hsa-miR-18b-5p	14	4	2	5	0	2	3	4	0	2
hsa-miR-1908-5p	14	60	19	21	21	0	13	32	14	15
hsa-miR-190a-3p	18	19	15	69	9	23	40	41	12	21
hsa-miR-190a-5p	1632	2993	4015	3314	2447	3622	3353	6765	3633	1766
hsa-miR-190b	83	40	49	32	52	16	87	58	11	32
hsa-miR-191-3p	51	38	46	29	14	22	47	51	17	21
hsa-miR-191-5p	196658	136745	116915	131991	100434	81991	80562	94367	75592	93542
hsa-miR-1910-5p	6	10	6	4	0	8	8	9	5	3
hsa-miR-192-3p	8	0	0	0	0	0	0	0	0	0
hsa-miR-192-5p	10159	11153	11114	11411	8053	8284	8936	8796	7809	8340
hsa-miR-193a-3p	1061	331	473	801	303	306	783	685	236	241
hsa-miR-193a-5p	1255	3304	878	1238	3093	1017	1880	3055	2059	1191
hsa-miR-193b-3p	11568	3202	2236	3551	3536	2723	3011	2874	1950	1946
hsa-miR-193b-5p	194	94	49	97	69	55	81	116	56	43
hsa-miR-194-3p	0	2	2	0	0	0	0	3	2	0
hsa-miR-194-5p	314	380	369	268	278	300	408	354	246	332
hsa-miR-195-3p	623	559	312	394	390	321	411	407	245	309
hsa-miR-195-5p	17583	15457	10400	12005	14320	10460	11644	11594	7722	11606
hsa-miR-196a-5p	0	7	0	0	3	0	2	3	0	0
hsa-miR-196b-5p	0	11	6	4	4	8	11	3	0	8
hsa-miR-197-3p	11682	3648	5674	3964	3707	2934	4664	4788	2590	2998
hsa-miR-197-5p	0	0	2	0	0	0	0	0	0	0
hsa-miR-1973	0	2	0	3	0	0	2	0	0	0
hsa-miR-1976	4	0	0	0	0	0	6	0	0	0
hsa-miR-199a-3p=hsa-miR-199b-3p	63729	93824	49866	64749	73501	48460	80733	62268	48464	47621
hsa-miR-199a-5p	10007	15254	6834	6991	12291	6903	10847	8349	6168	6170
hsa-miR-199b-5p	7358	15267	6878	8866	8329	7521	12604	7660	6665	6397
hsa-miR-19a-3p	935	440	338	1539	367	329	533	453	287	314
hsa-miR-19a-5p	2	0	0	0	0	0	2	0	0	0
hsa-miR-19b-1-5p	5	0	0	2	3	2	0	0	3	4
hsa-miR-19b-3p	5911	2959	1967	6293	2545	2418	2862	2701	1739	1930
hsa-miR-200a-3p	4	3	6	5	14	2	2	7	4	9
hsa-miR-200b-3p	13	14	3	8	17	12	11	14	8	18
hsa-miR-200c-3p	8	16	8	5	11	10	5	15	5	18
hsa-miR-202-5p	8	4	2	5	0	2	6	11	7	11
hsa-miR-203a-3p	69	100	48	136	94	41	113	97	77	84
hsa-miR-204-3p	2	4	0	0	0	0	0	0	0	0
hsa-miR-204-5p	2914	2526	1551	498	3763	1042	1590	1711	676	1197
hsa-miR-205-5p	3	0	0	0	0	0	0	0	0	0
hsa-miR-206	0	0	0	0	0	0	2	5	4	0
hsa-miR-208a-3p	982	707	655	2006	479	708	898	1032	501	653
hsa-miR-208a-5p	610	161	194	308	139	87	98	170	118	138
hsa-miR-208b-3p	311125	264641	329419	503794	185038	238668	292070	342916	204406	263259
hsa-miR-208b-5p	107	39	82	138	20	35	72	76	32	30
hsa-miR-20a-3p	37	17	33	25	21	27	28	24	17	12
hsa-miR-20a-5p	1849	2255	2229	2482	2308	3549	2371	4158	3462	2104
hsa-miR-20b-5p	77	116	44	59	53	127	52	224	77	66
hsa-miR-21-3p	2012	3317	1611	9626	1661	879	3440	2354	1456	2224
hsa-miR-21-5p	53277	139922	69212	252327	89490	42848	135051	101389	80845	128712
hsa-miR-210-3p	2950	2174	1744	1877	922	1043	1301	1379	1453	1308
hsa-miR-210-5p	266	163	268	168	73	119	208	222	177	124
hsa-miR-211-5p	10	16	2	4	9	2	2	0	0	0
hsa-miR-2110	308	172	145	156	83	136	174	223	147	119
hsa-miR-2114-3p	0	11	5	5	6	2	0	0	0	3
hsa-miR-2114-5p	7	6	9	2	7	2	0	0	3	0
hsa-miR-2115-3p	0	2	0	0	0	0	0	0	0	0
hsa-miR-2116-3p	6	6	0	5	8	9	11	9	8	2
